Product Name,Product URL,Product Price,Product Rating,Product Rating Count
HEROZ Hacker 50 litres Large Size Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (Grey & Black),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTc0MDU3NjQ4ODg3NjU0OjE2OTc1NjQ1NzY6c3BfbXRmOjMwMDA3MDE1MTkzMzgzMjo6MDo6&url=%2FHEROZ-Backpack-Resistant-Computer-17-3-inch%2Fdp%2FB083N2MVG7%2Fref%3Dsr_1_119_sspa%3Fkeywords%3DBags%26qid%3D1697564576%26sr%3D8-119-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,309,3.9 out of 5 stars,"2,767"
"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",https://www.amazon.in/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9/ref=sr_1_120?keywords=Bags&qid=1697564576&sr=8-120,156,4.8 out of 5 stars,81
Nivia String Bag Polyester Made for Men Waterproof/Drawstring Backpack (Black),https://www.amazon.in/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM/ref=sr_1_121?keywords=Bags&qid=1697564576&sr=8-121,459,4.1 out of 5 stars,"2,557"
Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BYW5SH4L/ref=sr_1_122?keywords=Bags&qid=1697564576&sr=8-122,299,4.0 out of 5 stars,"6,870"
"Presto! Oxo-Biodegradable Garbage Bags, Small - 30 bags/roll (Pack of 6, Green, For Wet Waste)",https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TDGVLVM/ref=sr_1_123?keywords=Bags&qid=1697564576&sr=8-123,419,4.2 out of 5 stars,"8,210"
"OPTIMA Slim Laptop Backpack,Vintage Tear Resistant Business Bag for Travel,College,School,Casual Daypacks for Man,Women,Fits up to 15.6Inch MacBook,Lightweight",https://www.amazon.in/OPTIMA-Backpack-Resistant-Business-Lightweight/dp/B0C4GRTJSC/ref=sr_1_124?keywords=Bags&qid=1697564576&sr=8-124,"2,899",4.3 out of 5 stars,27
"HOEXL 42L Expandable Premium Laptop Backpack for Men/Women for Travel, School, College-Tech Bag with USB - Bagpacker Bag, 17 inch Laptop Bag with Water-resistant, Smart Bag with Multiple Compartments",https://www.amazon.in/HOEXL-Expandable-Premium-Backpack-College-Tech/dp/B0C3J2RLHP/ref=sr_1_125?keywords=Bags&qid=1697564576&sr=8-125,257,5.0 out of 5 stars,1
Tabelito® Basic Laptop Bag Laptop Cover Laptop Bags Laptop Sleeve Office Bag Laptop Bag 15.6 inch(39.6cm) Laptop Apple/Lenovo/Asus/Hp/MacBook/Thinkpad/Ideapad (Grey),https://www.amazon.in/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTW8SP/ref=sr_1_126?keywords=Bags&qid=1697564576&sr=8-126,452,4.5 out of 5 stars,8
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_127?keywords=Bags&qid=1697564576&sr=8-127,"1,199",4.1 out of 5 stars,"1,979"
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (ALL) (Grey & A. Blue 1000),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTc0MDU3NjQ4ODg3NjU0OjE2OTc1NjQ1NzY6c3BfYnRmOjMwMDA3MTQ5NTM5MTczMjo6MDo6&url=%2FHEROZ-Hammer-Backpack-Resistant-Durable%2Fdp%2FB07M82M8G7%2Fref%3Dsr_1_128_sspa%3Fkeywords%3DBags%26qid%3D1697564576%26sr%3D8-128-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,999,4.0 out of 5 stars,350
