Product Name,Product URL,Product Price,Product Rating,Product Rating Count,ASIN,Manufacturer,Description
"ASUS TUF Gaming VP4700 46.5 cm X 30.0 cm X13.0 cm Backpack (Black), with Roll-Up Design, Reflective Logo, Suitable for up to 46.5 cm Laptop",https://www.amazon.in/ASUS-VP4700-Backpack-Reflective-Suitable/dp/B0937G637K/ref=sr_1_265?keywords=Bags&qid=1697641157&sr=8-265,"1,699",4.2 out of 5 stars,105,Not found,Not found,"Entry gaming Flexible key feature sets for maximum maximum TA to reach entry gaming sector. With life style design, we could bring in TUF element and image into young generation and make exposure everywhere."
motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_266?keywords=Bags&qid=1697641157&sr=8-266,"1,399",4.2 out of 5 stars,"1,168",Not found,Not found,Not found
"Half Moon Large 35 L Laptop College School & Travel Bag Backpack for Men Women Boys and Girls Spacy Luggage Bags with 17.3 inches Laptop Compartment, Reflective Strip & Rain Cover",https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BLLJPBYM/ref=sr_1_267?keywords=Bags&qid=1697641157&sr=8-267,689,3.9 out of 5 stars,266,B0BLLJPBYM,Half_Moon,Not found
Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_268?keywords=Bags&qid=1697641157&sr=8-268,695,5.0 out of 5 stars,2,B097KCMQKG,Gear,"Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements."
"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",https://www.amazon.in/POLESTAR-Backpack-compartment-polyester-warranty/dp/B09RWTQ1VW/ref=sr_1_269?keywords=Bags&qid=1697641157&sr=8-269,579,4.3 out of 5 stars,"1,818",Scale Polestar Pvt. Ltd.,6 February 2022,Not found
Impulse Diggy Niva 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,https://www.amazon.in/Impulse-Diggy-Backpack-Business-Resistant/dp/B0CJHST8BY/ref=sr_1_270?keywords=Bags&qid=1697641157&sr=8-270,399,4.4 out of 5 stars,57,Diggy niva black,B0CJHST8BY,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs"
"TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack, 1 Year Warranty, HK006",https://www.amazon.in/TRAWOC-60LTravel-Backpack-Trekking-Rucksack/dp/B07YYG5G31/ref=sr_1_271?keywords=Bags&qid=1697641157&sr=8-271,"1,567",4.1 out of 5 stars,455,B07YYG5G31,TRAWOC,Not found
"ZEBRONICS TECHSHIELD X1 15.6"", Volume 32L Liter, 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks(Navy Blue)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDU1OTExNDQzOTQ4NjU1OjE2OTc2NDExNTc6c3BfYnRmOjMwMDAxNjYxODE5NTUzMjo6MDo6&url=%2FZEBRONICS-TECHSHIELD-X1-Compartment-Polyester%2Fdp%2FB0C6KZ6X2T%2Fref%3Dsr_1_272_sspa%3Fkeywords%3DBags%26qid%3D1697641157%26sr%3D8-272-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,029",4.2 out of 5 stars,434,Not found,Not found,"ZEBRONICS TECHSHIELD X1 15.6"", Volume 32L Liter, 3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks"
COSMUS RIPON Casual Travel College Laptop Backpack Dual Compartment 24 litres Bag,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDU1OTExNDQzOTQ4NjU1OjE2OTc2NDExNTc6c3BfYnRmOjMwMDA3MjA4NzE0NjUzMjo6MDo6&url=%2FCOSMUS-Casual-College-Backpack-Compartment%2Fdp%2FB0CKX9T39R%2Fref%3Dsr_1_273_sspa%3Fkeywords%3DBags%26qid%3D1697641157%26sr%3D8-273-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,499",4.0 out of 5 stars,176,B0CKX9T39R,COSMUS BAGS PVT.LTD.,Make a style statement by carrying this stylish elegant laptop backpack. Crafted with good quality linen material that ensures durability and easy maintenance. This Unisex laptop backpack has a double compartment that provides you ample space to fit in your daily essentials along with your 15.6 inches Laptop. Large main compartment features laptop section and iPad section along with secure inner Zipper pocket. Front large zipper pocket having organizer sections and one inner Zipper pockets for your valuables and ensures everything kept organized. It also has an easy access outer zipper pocket for your small gadgets and small accessories.
"MS MAGIC SECRET Portable Heating Pad, Lower Back Pain Relief Fast Heating Pad, 3-Speed Temperature Adjustment and 4-Speed Massage Modes, Menstrual Heating Pad for Women and Girl",https://aax-eu.amazon.in/x/c/RCIvODhSjTGvaSFCw4-wJN8AAAGLQ0xX4QMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCKgJtC/https://www.amazon.in/MS-Portable-Temperature-Adjustment-Menstrual/dp/B0BWWNXT55/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3%3Aamzn1.sym.b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&cv_ct_cx=Bags&keywords=Bags&pd_rd_i=B0BWWNXT55&pd_rd_r=055fe594-d191-4f53-8bb5-0b65ec9d4f1b&pd_rd_w=Di0M5&pd_rd_wg=aDG2O&pf_rd_p=b8850c25-1899-4ec1-b48d-2d7f1e0c24d3&pf_rd_r=D9CZTSBY7ZKHA1KH101A&qid=1697641157&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-257-ad43fbe4-6f9c-4603-ab45-acb189caa93f,"1,299",4.8 out of 5 stars,32,MS MAGIC SECRET,26 February 2023,Not found
